0:0:0:0:0:0:0:1 - - [04/Oct/2022:09:51:40 +0900] "GET /semiProject/site.webmanifest HTTP/1.1" 404 839
0:0:0:0:0:0:0:1 - - [04/Oct/2022:09:51:54 +0900] "GET /semiProject/NoticeView?NoticeNo=21 HTTP/1.1" 200 17966
0:0:0:0:0:0:0:1 - - [04/Oct/2022:09:51:54 +0900] "GET /semiProject/assets/vendor/hs-mega-menu/dist/hs-mega-menu.min.js HTTP/1.1" 404 890
0:0:0:0:0:0:0:1 - - [04/Oct/2022:09:51:54 +0900] "GET /semiProject/assets/vendor/bootstrap/dist/js/bootstrap.bundle.min.js HTTP/1.1" 404 898
0:0:0:0:0:0:0:1 - - [04/Oct/2022:09:51:54 +0900] "GET /semiProject/site.webmanifest HTTP/1.1" 404 839
0:0:0:0:0:0:0:1 - - [04/Oct/2022:09:52:10 +0900] "GET /semiProject/main2 HTTP/1.1" 200 77627
0:0:0:0:0:0:0:1 - - [04/Oct/2022:09:52:10 +0900] "GET /semiProject/assets/vendor/hs-mega-menu/dist/hs-mega-menu.min.js HTTP/1.1" 404 890
0:0:0:0:0:0:0:1 - - [04/Oct/2022:09:52:10 +0900] "GET /semiProject/assets/vendor/bootstrap/dist/js/bootstrap.bundle.min.js HTTP/1.1" 404 898
0:0:0:0:0:0:0:1 - - [04/Oct/2022:09:52:12 +0900] "GET /semiProject/site.webmanifest HTTP/1.1" 404 839
0:0:0:0:0:0:0:1 - - [04/Oct/2022:09:53:40 +0900] "GET /semiProject/review_list HTTP/1.1" 200 20935
0:0:0:0:0:0:0:1 - - [04/Oct/2022:09:53:41 +0900] "GET /semiProject/assets/vendor/hs-mega-menu/dist/hs-mega-menu.min.js HTTP/1.1" 404 890
0:0:0:0:0:0:0:1 - - [04/Oct/2022:09:53:41 +0900] "GET /semiProject/assets/vendor/bootstrap/dist/js/bootstrap.bundle.min.js HTTP/1.1" 404 898
0:0:0:0:0:0:0:1 - - [04/Oct/2022:09:53:41 +0900] "GET /semiProject/site.webmanifest HTTP/1.1" 404 839
0:0:0:0:0:0:0:1 - - [04/Oct/2022:09:53:42 +0900] "GET /semiProject/review_view?reviewNum=61 HTTP/1.1" 200 18923
0:0:0:0:0:0:0:1 - - [04/Oct/2022:09:53:42 +0900] "GET /semiProject/assets/vendor/hs-mega-menu/dist/hs-mega-menu.min.js HTTP/1.1" 404 890
0:0:0:0:0:0:0:1 - - [04/Oct/2022:09:53:42 +0900] "GET /semiProject/assets/vendor/bootstrap/dist/js/bootstrap.bundle.min.js HTTP/1.1" 404 898
0:0:0:0:0:0:0:1 - - [04/Oct/2022:09:53:42 +0900] "GET /semiProject/site.webmanifest HTTP/1.1" 404 839
0:0:0:0:0:0:0:1 - - [04/Oct/2022:09:55:51 +0900] "GET /semiProject/review_view?reviewNum=61 HTTP/1.1" 200 18923
0:0:0:0:0:0:0:1 - - [04/Oct/2022:09:55:51 +0900] "GET /semiProject/assets/vendor/hs-mega-menu/dist/hs-mega-menu.min.js HTTP/1.1" 404 890
0:0:0:0:0:0:0:1 - - [04/Oct/2022:09:55:51 +0900] "GET /semiProject/assets/vendor/bootstrap/dist/js/bootstrap.bundle.min.js HTTP/1.1" 404 898
