0:0:0:0:0:0:0:1 - - [20/Nov/2022:22:01:53 +0900] "GET /semiProject/site.webmanifest HTTP/1.1" 404 839
0:0:0:0:0:0:0:1 - - [20/Nov/2022:22:01:55 +0900] "GET /semiProject/classic HTTP/1.1" 200 36357
0:0:0:0:0:0:0:1 - - [20/Nov/2022:22:01:56 +0900] "GET /semiProject/assets/vendor/hs-mega-menu/dist/hs-mega-menu.min.js HTTP/1.1" 404 890
0:0:0:0:0:0:0:1 - - [20/Nov/2022:22:01:56 +0900] "GET /semiProject/assets/vendor/bootstrap/dist/js/bootstrap.bundle.min.js HTTP/1.1" 404 898
0:0:0:0:0:0:0:1 - - [20/Nov/2022:22:01:56 +0900] "GET /semiProject/img/img/opera-594592.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2022:22:01:56 +0900] "GET /semiProject/site.webmanifest HTTP/1.1" 404 839
0:0:0:0:0:0:0:1 - - [20/Nov/2022:22:05:34 +0900] "GET /semiProject/korean HTTP/1.1" 200 34269
0:0:0:0:0:0:0:1 - - [20/Nov/2022:22:05:34 +0900] "GET /semiProject/assets/vendor/hs-mega-menu/dist/hs-mega-menu.min.js HTTP/1.1" 404 890
0:0:0:0:0:0:0:1 - - [20/Nov/2022:22:05:34 +0900] "GET /semiProject/assets/vendor/bootstrap/dist/js/bootstrap.bundle.min.js HTTP/1.1" 404 898
0:0:0:0:0:0:0:1 - - [20/Nov/2022:22:05:34 +0900] "GET /semiProject/img/img/korean.jpg HTTP/1.1" 200 225702
0:0:0:0:0:0:0:1 - - [20/Nov/2022:22:05:34 +0900] "GET /semiProject/site.webmanifest HTTP/1.1" 404 839
0:0:0:0:0:0:0:1 - - [20/Nov/2022:22:05:44 +0900] "GET /semiProject/korean HTTP/1.1" 200 34269
0:0:0:0:0:0:0:1 - - [20/Nov/2022:22:05:44 +0900] "GET /semiProject/assets/vendor/hs-mega-menu/dist/hs-mega-menu.min.js HTTP/1.1" 404 890
0:0:0:0:0:0:0:1 - - [20/Nov/2022:22:05:44 +0900] "GET /semiProject/assets/vendor/bootstrap/dist/js/bootstrap.bundle.min.js HTTP/1.1" 404 898
0:0:0:0:0:0:0:1 - - [20/Nov/2022:22:05:44 +0900] "GET /semiProject/img/img/korean.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2022:22:05:44 +0900] "GET /semiProject/site.webmanifest HTTP/1.1" 404 839
0:0:0:0:0:0:0:1 - - [20/Nov/2022:22:06:41 +0900] "GET /semiProject/QnA_list HTTP/1.1" 200 22797
0:0:0:0:0:0:0:1 - - [20/Nov/2022:22:06:41 +0900] "GET /semiProject/assets/vendor/hs-mega-menu/dist/hs-mega-menu.min.js HTTP/1.1" 404 890
0:0:0:0:0:0:0:1 - - [20/Nov/2022:22:06:41 +0900] "GET /semiProject/assets/vendor/bootstrap/dist/js/bootstrap.bundle.min.js HTTP/1.1" 404 898
0:0:0:0:0:0:0:1 - - [20/Nov/2022:22:06:41 +0900] "GET /semiProject/site.webmanifest HTTP/1.1" 404 839
0:0:0:0:0:0:0:1 - - [20/Nov/2022:22:06:47 +0900] "GET /semiProject/QnaView?boardNo=61 HTTP/1.1" 200 18691
0:0:0:0:0:0:0:1 - - [20/Nov/2022:22:06:47 +0900] "GET /semiProject/assets/vendor/hs-mega-menu/dist/hs-mega-menu.min.js HTTP/1.1" 404 890
0:0:0:0:0:0:0:1 - - [20/Nov/2022:22:06:47 +0900] "GET /semiProject/assets/vendor/bootstrap/dist/js/bootstrap.bundle.min.js HTTP/1.1" 404 898
0:0:0:0:0:0:0:1 - - [20/Nov/2022:22:06:48 +0900] "GET /semiProject/site.webmanifest HTTP/1.1" 404 839
0:0:0:0:0:0:0:1 - - [20/Nov/2022:22:07:02 +0900] "GET /semiProject/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [20/Nov/2022:22:07:02 +0900] "GET /semiProject/login.jsp HTTP/1.1" 200 16784
0:0:0:0:0:0:0:1 - - [20/Nov/2022:22:07:02 +0900] "GET /semiProject/assets/vendor/hs-mega-menu/dist/hs-mega-menu.min.js HTTP/1.1" 404 890
0:0:0:0:0:0:0:1 - - [20/Nov/2022:22:07:02 +0900] "GET /semiProject/assets/vendor/bootstrap/dist/js/bootstrap.bundle.min.js HTTP/1.1" 404 898
0:0:0:0:0:0:0:1 - - [20/Nov/2022:22:07:02 +0900] "GET /semiProject/site.webmanifest HTTP/1.1" 404 839
0:0:0:0:0:0:0:1 - - [20/Nov/2022:22:07:07 +0900] "POST /semiProject/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [20/Nov/2022:22:07:08 +0900] "GET /semiProject/main2 HTTP/1.1" 200 77584
0:0:0:0:0:0:0:1 - - [20/Nov/2022:22:07:08 +0900] "GET /semiProject/assets/vendor/hs-mega-menu/dist/hs-mega-menu.min.js HTTP/1.1" 404 890
0:0:0:0:0:0:0:1 - - [20/Nov/2022:22:07:08 +0900] "GET /semiProject/assets/vendor/bootstrap/dist/js/bootstrap.bundle.min.js HTTP/1.1" 404 898
0:0:0:0:0:0:0:1 - - [20/Nov/2022:22:07:08 +0900] "GET /semiProject/resources/caliburn_1.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2022:22:07:08 +0900] "GET /semiProject/resources/caliburn_2.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2022:22:07:08 +0900] "GET /semiProject/resources/caliburn_3.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2022:22:07:08 +0900] "GET /semiProject/resources/caliburn_4.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2022:22:07:08 +0900] "GET /semiProject/resources/caliburn_5.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2022:22:07:08 +0900] "GET /semiProject/resources/caliburn_6.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2022:22:07:09 +0900] "GET /semiProject/resources/caliburn_10.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2022:22:07:09 +0900] "GET /semiProject/resources/caliburn_11.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2022:22:07:09 +0900] "GET /semiProject/resources/caliburn_14.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2022:22:07:09 +0900] "GET /semiProject/resources/caliburn_7.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2022:22:07:09 +0900] "GET /semiProject/resources/caliburn_12.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2022:22:07:09 +0900] "GET /semiProject/resources/caliburn_8.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2022:22:07:09 +0900] "GET /semiProject/resources/caliburn_15.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2022:22:07:09 +0900] "GET /semiProject/resources/caliburn_13.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2022:22:07:09 +0900] "GET /semiProject/resources/caliburn_9.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2022:22:07:10 +0900] "GET /semiProject/resources/p_0.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2022:22:07:10 +0900] "GET /semiProject/resources/p_1.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2022:22:07:10 +0900] "GET /semiProject/resources/p_3.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2022:22:07:10 +0900] "GET /semiProject/resources/p_2.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2022:22:07:10 +0900] "GET /semiProject/resources/p_4.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2022:22:07:10 +0900] "GET /semiProject/resources/p_5.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2022:22:07:11 +0900] "GET /semiProject/site.webmanifest HTTP/1.1" 404 839
0:0:0:0:0:0:0:1 - - [20/Nov/2022:22:07:19 +0900] "GET /semiProject/QnA_list HTTP/1.1" 200 22636
0:0:0:0:0:0:0:1 - - [20/Nov/2022:22:07:19 +0900] "GET /semiProject/assets/vendor/hs-mega-menu/dist/hs-mega-menu.min.js HTTP/1.1" 404 890
0:0:0:0:0:0:0:1 - - [20/Nov/2022:22:07:19 +0900] "GET /semiProject/assets/vendor/bootstrap/dist/js/bootstrap.bundle.min.js HTTP/1.1" 404 898
0:0:0:0:0:0:0:1 - - [20/Nov/2022:22:07:19 +0900] "GET /semiProject/site.webmanifest HTTP/1.1" 404 839
0:0:0:0:0:0:0:1 - - [20/Nov/2022:22:07:21 +0900] "GET /semiProject/QnaView?boardNo=61 HTTP/1.1" 200 18536
0:0:0:0:0:0:0:1 - - [20/Nov/2022:22:07:21 +0900] "GET /semiProject/assets/vendor/hs-mega-menu/dist/hs-mega-menu.min.js HTTP/1.1" 404 890
0:0:0:0:0:0:0:1 - - [20/Nov/2022:22:07:21 +0900] "GET /semiProject/assets/vendor/bootstrap/dist/js/bootstrap.bundle.min.js HTTP/1.1" 404 898
0:0:0:0:0:0:0:1 - - [20/Nov/2022:22:07:21 +0900] "GET /semiProject/site.webmanifest HTTP/1.1" 404 839
0:0:0:0:0:0:0:1 - - [20/Nov/2022:22:07:22 +0900] "GET /semiProject/QnA_edit?boardNo=61 HTTP/1.1" 200 18132
